code,description,detailedDescription
P1154, SondaLambda1B2, Sonda Lambda 1 banco 2
P1167, SondaLambda, Sonda Lambda
P1171, SondaLambda, Sonda Lambda
P1173, TemperaturaMotor, Temperatura do motor
P1195, IntPressaoOleo, Interruptor de pressão do óleo
P1220, SensorPosicBorb, Sensor de posição da borboleta
P1224, SensorPosicBorb, Sensor de posição da borboleta
P1230, BombaCombustivel, Bomba de combustível
P1231, ReleBombaCombust, Relê da bomba de combustível
P1232, BombaCombustivel, Bomba de combustível
P1233, BombaCombustivel, Bomba de combustível
P1234, BombaCombustivel, Bomba de combustível
P1235, BombaCombustivel, Bomba de combustível
P1236, BombaCombustivel, Bomba de combustível
P1237, BombaCombustivel, Bomba de combustível
P1238, BombaCombustivel, Bomba de combustível
P1260, TentativaRoubo, Tentativa de roubo
P1270, RotacMaximMotor, Rotação máxima do motor
P1289, SenTempCabCilind, Sensor de temperatura da cabeça do cilindro
P1290, SenTempCabCilind, Sensor de temperatura da cabeça do cilindro
P1294, MarchaLenta, Marcha-lenta
P1296, SensorMAP, Sensor MAP
P1297, SensorMAP, Sensor MAP
P1299, MarchaLenta, Marcha-lenta
P1336, PosicVirabrequim, Posição do virabrequim
P1345, SincVirabComValv, Sincronismo entre virabrequim e comando de válvulas
P1351, SistemaIgnicao, Sistema de ignição
P1352, SistemaIgnicao, Sistema de ignição
P1353, SistemaIgnicao, Sistema de ignição
P1358, SistemaIgnicao, Sistema de ignição
P1359, SistemaIgnicao, Sistema de ignição
P1361, SistemaIgnicao, Sistema de ignição
P1380, FalhaIgnicao, Falha de ignição
P1381, FalhaIgnicao, Falha de ignição
P1390, RegulOctanComb, Regulação devido a octanagem do combustível
P1391, SensorFase, Sensor de posição do comando de vávulas
P1392, SensTerrenIrreg, Sensor de terreno irregular
P1393, SensTerrenIrreg, Sensor de terreno irregular
P1396, SensVelocidRoda, Sensor de velocidade da roda
P1397, SensVelocidRoda, Sensor de velocidade da roda
P1398, ControlTorqTrans, Controle de torque da transmissão
P1400, SistemaEGR, Sistema EGR
P1401, SistemaEGR, Sistema EGR
P1404, SistemaEGR, Sistema EGR
P1405, SistemaEGR, Sistema EGR
P1406, SistemaEGR, Sistema EGR
P1408, SistemaEGR, Sistema EGR
P1409, SistemaEGR, Sistema EGR
P1410, SensorPresTanque, Sensor de pressão do tanque
P1413, BombaDeAr, Bomba de ar
P1414, BombaDeAr, Bomba de ar
P1441, PurgaEVAP, Purga do sistema de emissão evaporativa EVAP
P1443, ValvulaCanister, Válvula Canister
P1451, SistemaCanister, Sistema Canister
P1460, ArCondicionado, Ar Condicionado
P1461, SensorPressaoA/C, Sensor de pressão do ar condicionado
P1462, SensorPressaoA/C, Sensor de pressão do ar condicionado
P1464, ArCondicionado, Ar Condicionado
P1473, Ventilador, Ventilador
P1474, ContrVentBaixa, Controle do ventilador - baixa velocidade
P1479, ContrVentAlta, Controle do ventilador - alta velocidade
P1480, Ventilador, Ventilador
P1481, Ventilador, Ventilador
P1482, ControleVentil2, Controle do ventilador 2
P1483, Ventilador, Ventilador
P1484, Ventilador, Ventilador
P1487, SistemaEGR, Sistema EGR
P1489, ContrVentAlta, Controle do ventilador - alta velocidade
P1490, ContrVentBaixa, Controle do ventilador - baixa velocidade
P1492, Tensao, Bateria Tensão da bateria
P1493, Tensao, Bateria Tensão da bateria
P1494, SistemaCanister, Sistema Canister
P1496, Alimentacao, ECU Alimentação da ECU
P1498, ContrVentAlta, Controle do ventilador - alta velocidade
P1500, SensorVelocidade, Sensor de velocidade do veículo
P1501, Imobilizador, Imobilizador P1502 Imobilizador Imobilizador
P1503, Imobilizador, Imobilizador
P1504, SistControleML, Sistema de controle de marcha lenta
P1505, SistControleML, Sistema de controle de marcha lenta
P1508, SistControleML, Sistema de controle de marcha lenta
P1509, SistControleML, Sistema de controle de marcha lenta
P1510, InterruptorML, Interruptor da marcha lenta
P1516, SistControleML, Sistema de controle de marcha lenta
P1517, SistControleML, Sistema de controle de marcha lenta
P1518, SistControleML, Sistema de controle de marcha lenta
P1519, SistControleML, Sistema de controle de marcha lenta
P1520, SistControleML, Sistema de controle de marcha lenta
P1530, ReleA/C, Relé do ar condicionado
P1537, SistControleML, Sistema de controle de marcha lenta
P1538, SistControleML, Sistema de controle de marcha lenta
P1539, EmbreagemA/C, Embreagem do ar condicionado
P1540, SensorPressaoA/C, Sensor de pressão do ar condicionado
P1549, SistControleML, Sistema de controle de marcha lenta
P1550, SistemaContrTrac, Sistema de controle de tração
P1560, ChaveIgnicao, Chave ignição
P1571, InterruptorFreio, Interruptor do freio
P1572, SistemaABS, Sistema ABS
P1600, MauFuncionam.ECU, Mau funcionamento da ECU
P1601, LinkComunTransm, Link de comunicação da transmissão
P1602, MauFuncionam.ECU, Mau funcionamento da ECU
P1604, MauFuncionam.ECU, Mau funcionamento da ECU
P1605, MauFuncionam.ECU, Mau funcionamento da ECU
P1607, MauFuncionam.ECU, Mau funcionamento da ECU
P1608, MotorEmbreagem, Motor da embreagem
P1609, MauFuncionam.ECU, Mau funcionamento da ECU
P1610, ImobNaoProgramad, Imobilizador não programado
P1611, CodSegurIncorret, Código de segurança incorreto
P1612, SinalImobilizad, Sinal do imobilizador
P1613, SinalImobilizad, Sinal do imobilizador
P1614, ChaveIncorreta, Chave Incorreta
P1615, DadosInvCarroc, Dados inválidos do módulo de controle da carroceria
P1616, DadosInvPainel, Dados inválidos do módulo de controle do painel
P1620, TensaoReferenc, Tensão de referência
P1625, Alimentacao, ECU Alimentação da ECU
P1626, Alimentacao, ECU Alimentação da ECU
P1630, ReleBombaCombust, Relê da bomba de combustível
P1631, SinalImobilizad, Sinal do imobilizador P1635 TensaoReferenc Tensão de referência
P1650, InterPresDirHidr, Interruptor de pressão da direção hidráulica
P1651, DirecHidraulica, Direção Hidráulica
P1655, MauFuncionam.ECU, Mau funcionamento da ECU
P1696, Falha, EEPROM Falha na memória EEPROM
P1697, LampDiagnost, Lâmpada de diagnóstico
P1698, LinkComunicacao, Link de comunicação
P1700, Transmissao, Transmissão
P1703, InterruptorFreio, Interruptor do freio
P1705, InterruptorP/N, Interruptor P/N
P1706, TemperEmbreagem, Temperatura da embreagem
P1707, AjusteEmbreagem, Ajuste da embreagem
P1709, InterruptorP/N, Interruptor P/N
P1710, SensVelocidRoda, Sensor de velocidade da roda
P1711, SenTempOleoTrans, Sensor de temperatura do óleo da transmissão
P1712, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
P1722, AtuadorSelecao, Atuador Seleção
P1723, AtuadorSelecao, Atuador Seleção
P1725, MotorMudanca, Motor de mudança
P1726, MotorMudanca, Motor de mudança
P1727, MotorMudanca, Motor de mudança
P1728, MotorMudanca, Motor de mudança
P1729, MotorMudanca, Motor de mudança
P1730, MotorMudanca, Motor de mudança
P1731, TemperatTranmiss, Temperatura da transmissão
P1732, CaixaTransmissao, Caixa de transmissão
P1733, ErroConfiguracao, Erro de configuração
P1734, AjusteEmbreagem, Ajuste da embreagem
P1735, AprendizTransmis, Aprendizado da transmissão
P1740, TemperatTranmiss, Temperatura da transmissão
P1746, ControlTorqTrans, Controle de torque da transmissão
P1747, ControlTorqTrans, Controle de torque da transmissão
P1779, SinTorqueMotor, Sinal do torque do motor
P1789, SolenMudancaA, Solenóide de mudança A
P1813, SinalTorque, Sinal de torque
P1870, ConversorTorque, Conversor de torque
P1895, SinTorqueMotor, Sinal do torque do motor
P1896, SinTorqueMotor, Sinal do torque do motor
P1899, InterruptorP/N, Interruptor P/N
P2195, SondaLambda, Sonda Lambda
P2196, SondaLambda, Sonda Lambda
P2279, VazamArAdmissao, Vazamento de ar da admissão
P2422, ValvulaCanister, Válvula Canister
P2610, TemporDeslMotor, Temporizador de desligamento do motor
U2100, FalhaNaCAN, Falha na CAN
U2101, FalhaNaCAN, Falha na CAN
U2103, FalhaNaCAN, Falha na CAN
U2104, FalhaNaCAN, Falha na CAN
U2105, FalhaNaCAN, Falha na CAN
U2106, ComunicTransAut, Comunicação da transmissão automática
U2107, LinkComunCarroc, Link de comunicação do módulo de controle da carroceria
U2108, ComunicacABS, CAN Comunicação com ABS pela CAN
